Date,DateKey,CalendarYear,CalendarMonth,CalendarQuarter,Day,DayOfWeekNum,WeekNum,DayOfWeekName,MonthName,WeekDay,FinancialMonthFYEF,FinancialMonthFYEM,FinancialQuarterFYEF,FinancialQuarterFYEM,FinancialYearEndingFeb,FinancialYearEndingMar
2019/01/01,20190101,2019,1,1,1,3,1,Tuesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/02,20190102,2019,1,1,2,4,1,Wednesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/03,20190103,2019,1,1,3,5,1,Thursday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/04,20190104,2019,1,1,4,6,1,Friday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/05,20190105,2019,1,1,5,7,1,Saturday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/06,20190106,2019,1,1,6,1,2,Sunday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/07,20190107,2019,1,1,7,2,2,Monday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/08,20190108,2019,1,1,8,3,2,Tuesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/09,20190109,2019,1,1,9,4,2,Wednesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/10,20190110,2019,1,1,10,5,2,Thursday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/11,20190111,2019,1,1,11,6,2,Friday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/12,20190112,2019,1,1,12,7,2,Saturday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/13,20190113,2019,1,1,13,1,3,Sunday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/14,20190114,2019,1,1,14,2,3,Monday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/15,20190115,2019,1,1,15,3,3,Tuesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/16,20190116,2019,1,1,16,4,3,Wednesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/17,20190117,2019,1,1,17,5,3,Thursday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/18,20190118,2019,1,1,18,6,3,Friday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/19,20190119,2019,1,1,19,7,3,Saturday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/20,20190120,2019,1,1,20,1,4,Sunday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/21,20190121,2019,1,1,21,2,4,Monday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/22,20190122,2019,1,1,22,3,4,Tuesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/23,20190123,2019,1,1,23,4,4,Wednesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/24,20190124,2019,1,1,24,5,4,Thursday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/25,20190125,2019,1,1,25,6,4,Friday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/26,20190126,2019,1,1,26,7,4,Saturday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/27,20190127,2019,1,1,27,1,5,Sunday,January,0,11,10,FQ 4,FQ 4,2019,2019
2019/01/28,20190128,2019,1,1,28,2,5,Monday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/29,20190129,2019,1,1,29,3,5,Tuesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/30,20190130,2019,1,1,30,4,5,Wednesday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/01/31,20190131,2019,1,1,31,5,5,Thursday,January,1,11,10,FQ 4,FQ 4,2019,2019
2019/02/01,20190201,2019,2,1,1,6,5,Friday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/02,20190202,2019,2,1,2,7,5,Saturday,February,0,12,11,FQ 4,FQ 4,2019,2019
2019/02/03,20190203,2019,2,1,3,1,6,Sunday,February,0,12,11,FQ 4,FQ 4,2019,2019
2019/02/04,20190204,2019,2,1,4,2,6,Monday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/05,20190205,2019,2,1,5,3,6,Tuesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/06,20190206,2019,2,1,6,4,6,Wednesday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/07,20190207,2019,2,1,7,5,6,Thursday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/08,20190208,2019,2,1,8,6,6,Friday,February,1,12,11,FQ 4,FQ 4,2019,2019
2019/02/09,20190209,2019,2,1,9,7,6,Saturday,February,0,12,11,FQ 4,FQ 4,2019,2019
