name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,,,,,,,
Cape Town,2023/01/01,35.7,22.7,28.8,34.4,22.7,28.3,11.3,34.6,0,0,0,,0,0,57.7,21.7,120.9,1010.6,0.1,12.2,303.3,26.2,9,10,2023-01-01T05:38:46,2023-01-01T20:00:36,0.31,Clear,Clear conditions throughout the day.,clear-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/02,32.8,18.9,26.2,32.6,18.9,26,14,48.9,0,0,0,,0,0,43.8,18.7,86.5,1007.9,0.9,10.4,300.5,26,9,10,2023-01-02T05:39:31,2023-01-02T20:00:47,0.34,Clear,Clear conditions throughout the day.,clear-day,"68713099999,68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,68715099999,F6172",,,,,,,
Cape Town,2023/01/03,24.1,16.1,19.4,24.1,16.1,19.4,14.3,73.3,0,0,0,rain,0,0,33.2,13.9,296.7,1009.5,27,11.9,296.1,25.6,9,10,2023-01-03T05:40:17,2023-01-03T20:00:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/04,22,16.3,19.1,22,16.3,19.1,12.7,67.4,0.588,100,8.33,rain,0,0,52.4,33.5,164,1015.1,71.3,12.7,207.8,17.9,6,10,2023-01-04T05:41:05,2023-01-04T20:01:02,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,68715099999,F6172",,,,,,,
Cape Town,2023/01/05,19,15.6,17.3,19,15.6,17.3,8.7,57.5,0.724,100,8.33,rain,0,0,78.9,27.2,148.9,1020,54.9,11.7,282,24.4,8,10,2023-01-05T05:41:53,2023-01-05T20:01:07,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/06,23.1,17.4,19.8,23.1,17.4,19.8,10.6,55.8,0,0,0,,0,0,61.6,28.2,143.4,1022.4,21,12,294.8,25.5,8,10,2023-01-06T05:42:43,2023-01-06T20:01:09,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/07,29.2,19.7,24.4,28.3,19.7,24.2,10.7,42.6,0,0,0,,0,0,63.5,29,153,1017.5,2.5,13.8,296.8,25.4,8,10,2023-01-07T05:43:33,2023-01-07T20:01:10,0.5,Clear,Clear conditions throughout the day.,clear-day,"68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/08,29.5,16.6,23,29.1,16.6,22.9,13.4,56.6,0,0,0,,0,0,39.4,27.7,121.5,1011,9.1,13.4,298.8,25.7,8,10,2023-01-08T05:44:24,2023-01-08T20:01:10,0.55,Clear,Clear conditions throughout the day.,clear-day,"68713099999,68816099999,68912099999,68813099999,68925099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/09,25.8,16.8,21.1,25.8,16.8,21.1,14.5,66.9,0,0,0,,0,0,30.9,15.4,315.7,1012.1,28.4,12,298.1,25.7,8,10,2023-01-09T05:45:17,2023-01-09T20:01:07,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/10,23.9,15.6,19.9,23.9,15.6,19.9,13.2,67.1,0,0,0,,0,0,34.6,18.6,281.5,1016.5,46.4,11.8,290.1,25.1,8,10,2023-01-10T05:46:10,2023-01-10T20:01:02,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/11,27.7,15.8,21.8,27.6,15.8,21.8,12.9,58.3,0,0,0,,0,0,20.3,12.5,42,1014.3,52.3,12.6,196,16.9,7,10,2023-01-11T05:47:03,2023-01-11T20:00:56,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/12,22,16.6,19.6,22,16.6,19.6,14.6,73.3,0,0,0,,0,0,37.1,27.7,318.8,1012.4,59.7,13.1,240,20.7,9,10,2023-01-12T05:47:58,2023-01-12T20:00:47,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/13,23.5,15.1,19.6,23.5,15.1,19.6,13.6,69.7,0,0,0,,0,0,32,17.2,273,1014.6,23.7,13.3,294.5,25.3,8,10,2023-01-13T05:48:53,2023-01-13T20:00:37,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68713099999,68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/14,25.2,19.6,22.1,25.2,19.6,22.1,13.7,59.4,0,0,0,rain,0,0,73.2,36.2,165.4,1015.2,40.1,13.7,293.2,25.3,9,10,2023-01-14T05:49:49,2023-01-14T20:00:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/15,28,20.2,23.9,27.9,20.2,24,14,54,0,0,0,,0,0,50,35.6,162.9,1013.4,57.7,12.8,263.5,23,10,10,2023-01-15T05:50:46,2023-01-15T20:00:11,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/16,32.8,22.1,27.9,32.2,22.1,27.9,14.9,45.8,0,0,0,,0,0,54.7,23.2,139.3,1009.8,33.8,11.7,277.9,24,8,10,2023-01-16T05:51:43,2023-01-16T19:59:55,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68713099999,68816099999,68912099999,68813099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/17,31.8,20.2,25.8,32.8,20.2,26,15.8,55,0,0,0,,0,0,18.5,10.7,20.5,1009.3,10.7,13.8,293.9,25.5,8,10,2023-01-17T05:52:40,2023-01-17T19:59:38,0.85,Clear,Clear conditions throughout the day.,clear-day,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/18,27.1,18.7,21.3,28,18.7,21.4,16.4,73.8,0.001,100,4.17,rain,0,0,33.4,25.9,299,1010.5,57.4,13.4,252.4,21.8,7,10,2023-01-18T05:53:38,2023-01-18T19:59:18,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/19,25.6,17.3,21.5,25.6,17.3,21.5,15.2,68.7,0,0,0,rain,0,0,31.5,17.7,255.4,1012.8,31.2,13.3,295.3,25.4,8,10,2023-01-19T05:54:37,2023-01-19T19:58:57,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/20,27.1,17.5,21.7,27.8,17.5,21.7,15.9,70.5,0,0,0,,0,0,30.9,18.5,241.6,1012.2,9.3,11.7,297,25.6,8,10,2023-01-20T05:55:35,2023-01-20T19:58:34,0.95,Clear,Clear conditions throughout the day.,clear-day,"68816099999,68912099999,68813099999,68925099999,68999099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/21,23.5,17.5,20.9,23.5,17.5,20.9,15,69.4,0,0,0,,0,0,37.5,19.3,273.7,1011.5,23.4,11.7,295.1,25.4,8,10,2023-01-21T05:56:34,2023-01-21T19:58:09,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/22,26.7,18.7,22.1,27.1,18.7,22.2,15.3,66.5,0.002,100,4.17,rain,0,0,54,21.6,137,1011.3,42.9,11.7,273.1,23.6,9,10,2023-01-22T05:57:34,2023-01-22T19:57:42,0.02,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/23,25,17.9,21.3,25,17.9,21.3,14.5,65.6,0,0,0,,0,0,44.5,22.3,269.4,1008.2,12.7,13.5,294.2,25.4,8,10,2023-01-23T05:58:33,2023-01-23T19:57:14,0.05,Clear,Clear conditions throughout the day.,clear-day,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/24,21.5,16.1,18.8,21.5,16.1,18.8,11.5,64.5,2.411,100,8.33,rain,0,0,42.5,18.4,250.6,1015.2,69.8,11.1,188.7,16.3,8,10,2023-01-24T05:59:33,2023-01-24T19:56:44,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/25,23.5,16.1,19.6,23.5,16.1,19.6,8.5,49,0,0,0,,0,0,43.5,19.2,148.4,1018.3,11.7,13.1,288.6,25,8,10,2023-01-25T06:00:33,2023-01-25T19:56:12,0.12,Clear,Clear conditions throughout the day.,clear-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/26,27.8,16.1,21.7,27.7,16.1,21.6,12.3,56.6,0,0,0,,0,0,22.2,14.8,31,1013.3,10.6,14.4,290,25.2,8,10,2023-01-26T06:01:33,2023-01-26T19:55:39,0.15,Clear,Clear conditions throughout the day.,clear-day,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/27,28.2,17.5,22.5,27.9,17.5,22.5,14,59.9,0,0,0,,0,0,33.2,15,59.2,1010.6,4.4,14.2,289.3,25,8,10,2023-01-27T06:02:33,2023-01-27T19:55:03,0.19,Clear,Clear conditions throughout the day.,clear-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/28,21.7,17.6,19.5,21.7,17.6,19.5,13,66.2,0.264,100,12.5,rain,0,0,72.7,31.1,146.8,1014.1,47.4,13.8,236.9,20.4,8,10,2023-01-28T06:03:33,2023-01-28T19:54:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68713099999,68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
Cape Town,2023/01/29,25.2,16.8,21,25.2,16.8,21,9.4,48.3,0,0,0,,0,0,70.9,26.1,140,1013.9,37.5,14.8,284.2,24.5,9,10,2023-01-29T06:04:34,2023-01-29T19:53:48,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172",,,,,,,
